Team,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College
Brooklyn Nets,Rodions Kurucs,F,6-9,228,February 5 1998,lv,2,
Brooklyn Nets,Jeremiah Martin  (TW),G,6-3,185,June 19 1996,us,1,Memphis
Brooklyn Nets,Taurean Prince,F,6-7,218,March 22 1994,us,4,Baylor
Brooklyn Nets,Spencer Dinwiddie,G,6-5,215,April 6 1993,us,6,Colorado
Brooklyn Nets,Timothé Luwawu-Cabarrot,F,6-7,220,May 9 1995,fr,4,
Brooklyn Nets,Nicolas Claxton,F,6-11,215,April 17 1999,us,1,Georgia
Toronto Raptors,Alex Len,C,7-0,250,June 16 1993,ua,7,Maryland
Toronto Raptors,Kyle Lowry,G,6-0,196,March 25 1986,us,14,Villanova
Toronto Raptors,OG Anunoby,F,6-7,232,July 17 1997,gb,3,Indiana
Toronto Raptors,Malachi Flynn,G,6-1,185,May 10 1998,us,R,Washington State San Diego State
Toronto Raptors,Pascal Siakam,F,6-9,230,April 2 1994,cm,4,New Mexico State
Toronto Raptors,Norman Powell,G,6-3,215,May 25 1993,us,5,UCLA
Toronto Raptors,Yuta Watanabe  (TW),F,6-8,215,October 13 1994,jp,2,George Washington
Toronto Raptors,Fred VanVleet,G,6-1,197,February 25 1994,us,4,Wichita State
Toronto Raptors,Patrick McCaw,G,6-7,181,October 25 1995,us,4,UNLV
Toronto Raptors,Jalen Harris  (TW),G,6-5,195,August 14 1998,us,R,Nevada Louisiana Tech
Toronto Raptors,Aron Baynes,C,6-10,260,December 9 1986,nz,8,Washington State
Toronto Raptors,Stanley Johnson,F,6-6,242,May 29 1996,us,5,Arizona
Toronto Raptors,Chris Boucher,F,6-9,200,January 11 1993,lc,3,Oregon
Toronto Raptors,Matt Thomas,G,6-4,190,August 4 1994,us,1,Iowa State
Toronto Raptors,DeAndre' Bembry,F,6-5,210,July 4 1994,us,4,Saint Joseph's
Toronto Raptors,Terence Davis,G,6-4,201,May 16 1997,us,1,Ole Miss
Philadelphia 76ers,Dakota Mathias  (TW),G,6-4,197,July 11 1995,us,R,Purdue
Philadelphia 76ers,Seth Curry,G,6-2,185,August 23 1990,us,6,Liberty Duke
Philadelphia 76ers,Tony Bradley,F-C,6-10,248,January 8 1998,us,3,UNC
Philadelphia 76ers,Dwight Howard,C,6-10,265,December 8 1985,us,16,
Philadelphia 76ers,Tobias Harris,F,6-8,226,July 15 1992,us,9,Tennessee
Philadelphia 76ers,Terrance Ferguson,G-F,6-6,190,May 17 1998,us,3,
Philadelphia 76ers,Justin Anderson,G,6-6,230,November 19 1993,us,5,Virginia
Philadelphia 76ers,Mike Scott,F,6-7,237,July 16 1988,us,8,Virginia
Philadelphia 76ers,Joel Embiid,C,7-0,280,March 16 1994,cm,4,Kansas
Philadelphia 76ers,Isaiah Joe,G,6-5,180,July 2 1999,us,R,Arkansas
Philadelphia 76ers,Ben Simmons,G-F,6-10,240,July 20 1996,au,3,LSU
Philadelphia 76ers,Matisse Thybulle,G,6-5,201,March 4 1997,us,1,Washington
Philadelphia 76ers,Paul Reed  (TW),F,6-9,220,June 14 1999,us,R,DePaul
Philadelphia 76ers,Furkan Korkmaz,G,6-7,202,July 24 1997,tr,3,
Philadelphia 76ers,Danny Green,G-F,6-6,215,June 22 1987,us,11,UNC
Philadelphia 76ers,Tyrese Maxey,G,6-3,198,November 4 2000,us,R,Kentucky
Philadelphia 76ers,Vincent Poirier,C,7-0,235,October 17 1993,fr,1,
Philadelphia 76ers,Shake Milton,G,6-5,205,September 26 1996,us,2,SMU
New York Knicks,Nerlens Noel,C-F,6-10,220,April 10 1994,us,6,Kentucky
New York Knicks,Ignas Brazdeikis,F,6-6,221,January 8 1999,lt,1,Michigan
New York Knicks,Bryce Brown,G,6-3,198,July 24 1997,us,R,Auburn
New York Knicks,Frank Ntilikina,G,6-4,200,July 28 1998,be,3,
New York Knicks,Austin Rivers,G,6-3,200,August 1 1992,us,8,Duke
New York Knicks,Julius Randle,F-C,6-8,250,November 29 1994,us,6,Kentucky
New York Knicks,Dennis Smith Jr.,G,6-2,205,November 25 1997,us,3,NC State
New York Knicks,Michael Kidd-Gilchrist,F,6-6,232,September 26 1993,us,8,Kentucky
New York Knicks,Reggie Bullock,G-F,6-6,205,March 16 1991,us,7,UNC
New York Knicks,Omari Spellman,F,6-8,245,July 21 1997,us,2,Villanova
New York Knicks,Immanuel Quickley,G,6-3,188,June 17 1999,us,R,Kentucky
New York Knicks,Alec Burks,G,6-6,214,July 20 1991,us,9,Colorado
New York Knicks,Kevin Knox,F,6-7,215,August 11 1999,us,2,Kentucky
New York Knicks,Elfrid Payton,G,6-3,195,February 22 1994,us,6,Louisiana
New York Knicks,Obi Toppin,F,6-9,240,March 4 1998,us,R,Dayton
New York Knicks,Mitchell Robinson,C,7-0,240,April 1 1998,us,2,Western Kentucky
New York Knicks,Theo Pinson  (TW),G,6-5,212,November 5 1995,us,2,UNC
New York Knicks,Jared Harper  (TW),G,5-11,175,September 14 1997,us,1,Auburn
New York Knicks,RJ Barrett,G-F,6-6,214,June 14 2000,ca,1,Duke
New York Knicks,Myles Powell,G,6-2,195,July 7 1997,us,R,Seton Hall
Chicago Bulls,Devon Dotson  (TW),G,6-2,185,August 2 1999,us,R,Kansas
Chicago Bulls,Coby White,G,6-4,195,February 16 2000,us,1,UNC
Chicago Bulls,Lauri Markkanen,F-C,7-0,240,May 22 1997,fi,3,Arizona
Chicago Bulls,Patrick Williams,F,6-8,225,August 26 2001,us,R,Florida State
Chicago Bulls,Daniel Gafford,F,6-10,234,October 1 1998,us,1,Arkansas
Chicago Bulls,Cristiano Felício,F-C,6-10,270,July 7 1992,br,5,
Chicago Bulls,Denzel Valentine,G,6-4,220,November 16 1993,us,3,Michigan State
Chicago Bulls,Tomáš Satoranský,G,6-7,210,October 30 1991,cz,4,
Chicago Bulls,Otto Porter,F,6-8,198,June 3 1993,us,7,Georgetown
Chicago Bulls,Adam Mokoka  (TW),G,6-5,190,July 18 1998,fr,1,
Chicago Bulls,Thaddeus Young,F,6-8,235,June 21 1988,us,13,Georgia Tech
Chicago Bulls,Chandler Hutchison,G,6-7,210,April 26 1996,us,2,Boise State
Chicago Bulls,Zach Norvell,G,6-5,206,December 9 1997,us,1,Gonzaga
Chicago Bulls,Ryan Arcidiacono,G,6-3,195,March 26 1994,us,3,Villanova
Chicago Bulls,Wendell Carter Jr.,C,6-9,270,April 16 1999,us,2,Duke
Chicago Bulls,Garrett Temple,G,6-5,195,May 8 1986,us,10,LSU
Chicago Bulls,Luke Kornet,F,7-2,250,July 15 1995,us,3,Vanderbilt
Chicago Bulls,Zach LaVine,G,6-6,200,March 10 1995,us,6,UCLA
Chicago Bulls,Simisola Shittu,F,6-10,240,November 7 1999,gb,R,Vanderbilt
Cleveland Cavaliers,Isaac Okoro,G-F,6-6,225,January 26 2001,us,R,Auburn
Cleveland Cavaliers,Dylan Windler,G-F,6-6,196,September 22 1996,us,R,Belmont
Cleveland Cavaliers,Andre Drummond,C,6-10,279,August 10 1993,us,8,UConn
Cleveland Cavaliers,Damyean Dotson,G,6-5,210,May 6 1994,us,3,Oregon Houston
Cleveland Cavaliers,Kevin Porter Jr.,G,6-4,203,May 4 2000,us,1,USC
Cleveland Cavaliers,Collin Sexton,G,6-1,190,January 4 1999,us,2,Alabama
Cleveland Cavaliers,Matthew Dellavedova,G,6-3,200,September 8 1990,au,7,Saint Mary's
Cleveland Cavaliers,JaVale McGee,C,7-0,270,January 19 1988,us,12,Nevada
Cleveland Cavaliers,Dante Exum,G,6-5,214,July 13 1995,au,5,
Cleveland Cavaliers,Charles Matthews,G,6-6,205,November 15 1996,us,R,Kentucky Michigan
Cleveland Cavaliers,Cedi Osman,F,6-7,230,April 8 1995,mk,3,
Cleveland Cavaliers,Kevin Love,F,6-8,251,September 7 1988,us,12,UCLA
Cleveland Cavaliers,Marques Bolden  (TW),C,6-11,245,April 17 1998,us,1,Duke
Cleveland Cavaliers,Dean Wade,F,6-9,228,November 20 1996,us,1,Kansas State
Cleveland Cavaliers,Larry Nance Jr.,F-C,6-7,245,January 1 1993,us,5,Wyoming
Cleveland Cavaliers,Thon Maker,F-C,7-0,221,February 25 1997,ss,4,
Cleveland Cavaliers,Lamar Stevens  (TW),F,6-8,225,July 9 1997,us,R,Penn State
Cleveland Cavaliers,Darius Garland,G,6-1,192,January 26 2000,us,1,Vanderbilt
Cleveland Cavaliers,Levi Randolph,G,6-5,208,October 3 1992,us,R,Alabama
Detroit Pistons,Isaiah Stewart,F-C,6-9,250,May 22 2001,us,R,Washington
Detroit Pistons,Derrick Rose,G,6-2,200,October 4 1988,us,11,Memphis
Detroit Pistons,Blake Griffin,F,6-9,250,March 16 1989,us,10,Oklahoma
Detroit Pistons,Mason Plumlee,C-F,6-11,254,March 5 1990,us,7,Duke
Detroit Pistons,Rodney McGruder,G,6-4,205,July 29 1991,us,4,Kansas State
Detroit Pistons,Tony Snell,G-F,6-6,213,November 10 1991,us,7,New Mexico
Detroit Pistons,Deividas Sirvydis,G-F,6-8,190,June 10 2000,lt,R,
Detroit Pistons,Saben Lee  (TW),G,6-2,183,June 23 1999,us,R,Vanderbilt
Detroit Pistons,Sviatoslav Mykhailiuk,G-F,6-7,205,June 10 1997,ua,2,Kansas
Detroit Pistons,Jahlil Okafor,C-F,6-10,270,December 15 1995,us,5,Duke
Detroit Pistons,Jerami Grant,F,6-8,210,March 12 1994,us,6,Syracuse
Detroit Pistons,Džanan Musa,G-F,6-9,217,May 8 1999,ba,2,
Detroit Pistons,Wayne Ellington,G,6-4,207,November 29 1987,us,11,UNC
Detroit Pistons,Killian Hayes,G,6-5,216,July 27 2001,us,R,
Detroit Pistons,Sekou Doumbouya,F,6-8,230,December 23 2000,gn,1,
Detroit Pistons,Josh Jackson,F-G,6-8,207,February 10 1997,us,3,Kansas
Detroit Pistons,Saddiq Bey,F,6-8,215,April 9 1999,us,R,Villanova
Detroit Pistons,Delon Wright,G,6-5,185,April 26 1992,us,5,Utah
Indiana Pacers,Justin Holiday,F,6-6,180,April 5 1989,us,7,Washington
Indiana Pacers,Goga Bitadze,C,6-11,250,July 20 1999,ge,1,
Indiana Pacers,Victor Oladipo,G,6-4,213,May 4 1992,us,7,Indiana
Indiana Pacers,Brian Bowen  (TW),F,6-6,190,October 2 1998,us,1,
Indiana Pacers,Jeremy Lamb,G-F,6-5,180,May 30 1992,us,8,UConn
Indiana Pacers,T.J. Warren,F,6-8,220,September 5 1993,us,6,NC State
Indiana Pacers,Cassius Stanley  (TW),G,6-6,193,August 18 1999,us,R,Duke
Indiana Pacers,Edmond Sumner,G,6-4,196,December 31 1995,us,3,Xavier
Indiana Pacers,Aaron Holiday,G,6-0,185,September 30 1996,us,2,UCLA
Indiana Pacers,JaKarr Sampson,G-F,6-7,214,March 20 1993,us,5,St. John's
Indiana Pacers,Jalen Lecque,G,6-3,185,June 13 2000,us,1,
Indiana Pacers,Doug McDermott,F,6-7,225,January 3 1992,us,6,Creighton
Indiana Pacers,Kelan Martin,F,6-5,230,August 3 1995,us,1,Butler
Indiana Pacers,T.J. McConnell,G,6-1,190,March 25 1992,us,5,Duquesne Arizona
Indiana Pacers,Myles Turner,C-F,6-11,250,March 24 1996,us,5,Texas
Indiana Pacers,Domantas Sabonis,F-C,6-11,240,May 3 1996,us,4,Gonzaga
Indiana Pacers,Malcolm Brogdon,G,6-5,229,December 11 1992,us,4,Virginia
Milwaukee Bucks,Jaylen Adams  (TW),G,6-2,190,May 4 1996,us,2,St. Bonaventure
Milwaukee Bucks,Thanasis Antetokounmpo,F,6-6,219,July 18 1992,gr,2,
Milwaukee Bucks,Giannis Antetokounmpo,F-G,6-11,242,December 6 1994,gr,7,
Milwaukee Bucks,Torrey Craig,G-F,6-7,221,December 19 1990,us,3,USC Upstate
Milwaukee Bucks,Pat Connaughton,G,6-5,209,January 6 1993,us,5,Notre Dame
Milwaukee Bucks,Jrue Holiday,G,6-3,205,June 12 1990,us,11,UCLA
Milwaukee Bucks,D.J. Augustin,G,5-11,183,November 10 1987,us,12,Texas
Milwaukee Bucks,Jordan Nwora,F,6-7,225,September 9 1998,us,R,Louisville
Milwaukee Bucks,D.J. Wilson,F,6-10,231,February 19 1996,us,3,Michigan
Milwaukee Bucks,Sam Merrill,G,6-5,205,May 15 1996,us,R,Utah State University
Milwaukee Bucks,Mamadi Diakite  (TW),F,6-9,224,January 21 1997,gn,R,Virginia
Milwaukee Bucks,Donte DiVincenzo,G,6-4,203,January 31 1997,us,2,Villanova
Milwaukee Bucks,Justin Patton,C,6-11,241,June 14 1997,us,3,Creighton
Milwaukee Bucks,Bryn Forbes,G,6-2,205,July 23 1993,us,4,Michigan State
Milwaukee Bucks,Brook Lopez,C,7-0,282,April 1 1988,us,12,Stanford
Milwaukee Bucks,Bobby Portis,F,6-10,250,February 10 1995,us,5,Arkansas
Milwaukee Bucks,Khris Middleton,F-G,6-7,222,August 12 1991,us,8,Texas A&M
Washington Wizards,Raul Neto,G,6-1,180,May 19 1992,br,5,
Washington Wizards,Rui Hachimura,F,6-8,230,February 8 1998,jp,1,Gonzaga
Washington Wizards,Bradley Beal,G,6-3,207,June 28 1993,us,8,Florida
Washington Wizards,Cassius Winston  (TW),G,6-1,205,February 28 1998,us,R,Michigan State
Washington Wizards,Thomas Bryant,C,6-10,248,July 31 1997,us,3,Indiana
Washington Wizards,Russell Westbrook,G,6-3,200,November 12 1988,us,12,UCLA
Washington Wizards,Anthony Gill,F,6-8,230,October 17 1992,us,R,South Carolina Virginia
Washington Wizards,Ish Smith,G,6-0,175,July 5 1988,us,10,Wake Forest
Washington Wizards,Moritz Wagner,F-C,6-11,245,April 26 1997,de,2,Michigan
Washington Wizards,Deni Avdija,G-F,6-9,225,January 3 2001,il,R,
Washington Wizards,Robin Lopez,C,7-0,281,April 1 1988,us,12,Stanford
Washington Wizards,Jerome Robinson,G,6-4,190,February 22 1997,us,2,Boston College
Washington Wizards,Dāvis Bertāns,F,6-10,225,November 12 1992,lv,4,
Washington Wizards,Troy Brown Jr.,G-F,6-6,215,July 28 1999,us,2,Oregon
Washington Wizards,Garrison Mathews  (TW),G,6-5,215,October 24 1996,us,1,Lipscomb
Washington Wizards,Isaac Bonga,G,6-8,180,November 8 1999,de,2,
Atlanta Hawks,Bogdan Bogdanović,G,6-6,220,August 18 1992,rs,3,
Atlanta Hawks,Bruno Fernando,F,6-9,240,August 15 1998,ao,1,Maryland
Atlanta Hawks,John Collins,F,6-9,235,September 23 1997,us,3,Wake Forest
Atlanta Hawks,Danilo Gallinari,F,6-10,233,August 8 1988,it,11,
Atlanta Hawks,Brandon Goodwin,G,6-0,180,October 2 1995,us,2,Central Florida Florida Gulf Coast
Atlanta Hawks,Trae Young,G,6-1,180,September 19 1998,us,2,Oklahoma
Atlanta Hawks,Solomon Hill,F,6-6,226,March 18 1991,us,7,Arizona
Atlanta Hawks,Rajon Rondo,G,6-1,180,February 22 1986,us,14,Kentucky
Atlanta Hawks,Kevin Huerter,G,6-7,190,August 27 1998,us,2,Maryland
Atlanta Hawks,Kris Dunn,G,6-3,205,March 18 1994,us,4,Providence
Atlanta Hawks,Onyeka Okongwu,F,6-9,245,December 11 2000,us,R,USC
Atlanta Hawks,Clint Capela,C,6-10,240,May 18 1994,ch,6,
Atlanta Hawks,Skylar Mays  (TW),G,6-4,205,September 5 1997,us,R,LSU
Atlanta Hawks,De'Andre Hunter,F,6-7,225,December 2 1997,us,1,Virginia
Atlanta Hawks,Nathan Knight  (TW),F-C,6-10,253,September 20 1997,us,R,William & Mary
Atlanta Hawks,Cam Reddish,F,6-8,218,September 1 1999,us,1,Duke
Orlando Magic,Gary Clark,F,6-6,225,November 16 1994,us,2,Cincinnati
Orlando Magic,Al-Farouq Aminu,F,6-8,220,September 21 1990,us,10,Wake Forest
Orlando Magic,Evan Fournier,G-F,6-7,205,October 29 1992,fr,8,
Orlando Magic,Michael Carter-Williams,G,6-5,190,October 10 1991,us,7,Syracuse
Orlando Magic,Nikola Vučević,C,6-11,260,October 24 1990,ch,9,USC
Orlando Magic,Jonathan Isaac,F,6-11,230,October 3 1997,us,3,Florida State
Orlando Magic,Dwayne Bacon,G,6-6,221,August 30 1995,us,3,Florida State
Orlando Magic,Terrence Ross,F-G,6-6,206,February 5 1991,us,8,Washington
Orlando Magic,Markelle Fultz,G,6-3,209,May 29 1998,us,3,Washington
Orlando Magic,James Ennis,F,6-6,215,July 1 1990,us,6,Cal State Long Beach
Orlando Magic,Khem Birch,C-F,6-9,233,September 28 1992,ca,3,Pitt UNLV
Orlando Magic,Mo Bamba,C,7-0,231,May 12 1998,us,2,Texas
Orlando Magic,Karim Mané  (TW),G,6-5,185,May 16 2000,sn,R,Vanier College
Orlando Magic,Chuma Okeke,F,6-8,230,August 18 1998,us,R,Auburn
Orlando Magic,Aaron Gordon,F,6-8,235,September 16 1995,us,6,Arizona
Orlando Magic,Jordan Bone  (TW),G,6-3,180,November 5 1997,us,1,Tennessee
Orlando Magic,Cole Anthony,G,6-3,190,May 15 2000,us,R,UNC
Orlando Magic,Melvin Frazier,G,6-5,215,August 30 1996,us,2,Tulane
Miami Heat,Maurice Harkless,F-G,6-7,220,May 11 1993,us,8,St. John's
Miami Heat,Jimmy Butler,F-G,6-7,230,September 14 1989,us,9,Marquette
Miami Heat,Bam Adebayo,C-F,6-9,255,July 18 1997,us,3,Kentucky
Miami Heat,Avery Bradley,G,6-3,180,November 26 1990,us,10,Texas
Miami Heat,Chris Silva,F,6-8,234,September 19 1996,ga,1,South Carolina
Miami Heat,Kelly Olynyk,C-F,6-11,240,April 19 1991,ca,7,Gonzaga
Miami Heat,Precious Achiuwa,F,6-9,225,September 19 1999,ng,R,Memphis
Miami Heat,Andre Iguodala,G-F,6-6,215,January 28 1984,us,16,Arizona
Miami Heat,Duncan Robinson,G-F,6-7,215,April 22 1994,us,2,Williams Michigan
Miami Heat,Breein Tyree,G,6-2,195,January 13 1998,us,R,Ole Miss
Miami Heat,Meyers Leonard,C-F,7-0,260,February 27 1992,us,8,Illinois
Miami Heat,Kendrick Nunn,G,6-2,190,August 3 1995,us,1,Illinois Oakland
Miami Heat,Udonis Haslem,F-C,6-8,235,June 9 1980,us,17,Florida
Miami Heat,Goran Dragić,G,6-3,190,May 6 1986,si,12,
Miami Heat,KZ Okpala,F,6-8,215,April 28 1999,us,1,Stanford
Miami Heat,Max Strus  (TW),G,6-6,215,March 28 1996,us,1,Lewis (IL) DePaul
Miami Heat,Gabe Vincent  (TW),G,6-3,200,June 14 1996,us,1,UC Santa Barbara
Miami Heat,Tyler Herro,G,6-5,195,January 20 2000,us,1,Kentucky
Charlotte Hornets,LaMelo Ball,G,6-7,194,August 22 2001,us,R,
Charlotte Hornets,Cody Martin,G-F,6-5,205,September 28 1995,us,1,NC State Nevada
Charlotte Hornets,Cody Zeller,C-F,7-0,240,October 5 1992,us,7,Indiana
Charlotte Hornets,Vernon Carey Jr.,C,6-10,270,February 25 2001,us,R,Duke
Charlotte Hornets,Caleb Martin,F,6-5,205,September 28 1995,us,1,NC State Nevada
Charlotte Hornets,Malik Monk,G,6-3,200,February 4 1998,us,3,Kentucky
Charlotte Hornets,Bismack Biyombo,C-F,6-8,255,August 28 1992,cd,9,
Charlotte Hornets,Jalen McDaniels,F,6-10,205,January 31 1998,us,1,San Diego State
Charlotte Hornets,Miles Bridges,G-F,6-6,225,March 21 1998,us,2,Michigan State
Charlotte Hornets,Nick Richards,F-C,6-11,247,November 29 1997,jm,R,Kentucky
Charlotte Hornets,Nate Darling  (TW),G,6-5,200,August 30 1998,ca,R,UAB University of Delaware
Charlotte Hornets,Devonte' Graham,G,6-1,195,February 22 1995,us,2,Kansas
Charlotte Hornets,Gordon Hayward,F-G,6-7,225,March 23 1990,us,10,Butler
Charlotte Hornets,P.J. Washington,F,6-7,230,August 23 1998,us,1,Kentucky
Charlotte Hornets,Grant Riller  (TW),G,6-3,190,February 8 1997,us,R,College of Charleston
Charlotte Hornets,Terry Rozier,G,6-1,190,March 17 1994,us,5,Louisville
Minnesota Timberwolves,Juan Hernangómez,F,6-9,214,September 28 1995,es,4,
Minnesota Timberwolves,Ricky Rubio,G,6-3,190,October 21 1990,es,9,
Minnesota Timberwolves,Josh Okogie,G,6-4,213,September 1 1998,ng,2,Georgia Tech
Minnesota Timberwolves,Jaden McDaniels,F,6-9,200,September 29 2000,us,R,Washington
Minnesota Timberwolves,Ed Davis,F,6-9,218,June 5 1989,us,10,UNC
Minnesota Timberwolves,Jarred Vanderbilt,F,6-9,214,April 3 1999,us,2,Kentucky
Minnesota Timberwolves,Anthony Edwards,G,6-5,225,August 5 2001,us,R,Georgia
Minnesota Timberwolves,Jaylen Nowell,G,6-4,201,July 9 1999,us,1,Washington
Minnesota Timberwolves,Karl-Anthony Towns,C-F,6-11,248,November 15 1995,us,5,Kentucky
Minnesota Timberwolves,Jordan McLaughlin  (TW),G,5-11,185,April 9 1996,us,1,USC
Minnesota Timberwolves,Naz Reid,F,6-9,264,August 26 1999,us,1,LSU
Minnesota Timberwolves,Jarrett Culver,G,6-6,195,February 20 1999,us,1,Texas Tech
Minnesota Timberwolves,Ashton Hagans  (TW),G,6-3,198,July 8 1999,us,R,Kentucky
Minnesota Timberwolves,D'Angelo Russell,G,6-4,193,February 23 1996,us,5,Ohio State
Minnesota Timberwolves,Malik Beasley,G,6-4,187,November 26 1996,us,4,Florida State
Minnesota Timberwolves,Jake Layman,F,6-8,209,March 7 1994,us,4,Maryland
Oklahoma City Thunder,Josh Hall,F,6-8,200,October 8 2000,us,R,
Oklahoma City Thunder,George Hill,G,6-3,188,May 4 1986,us,12,IUPUI
Oklahoma City Thunder,Justin Jackson,G-F,6-7,220,March 28 1995,us,3,UNC
Oklahoma City Thunder,Kenrich Williams,G-F,6-6,210,December 2 1994,us,2,TCU
Oklahoma City Thunder,Mike Muscala,F-C,6-10,240,July 1 1991,us,7,Bucknell
Oklahoma City Thunder,Shai Gilgeous-Alexander,G,6-5,180,July 12 1998,ca,2,Kentucky
Oklahoma City Thunder,Aleksej Pokusevski,F,6-11,215,December 26 2001,rs,R,
Oklahoma City Thunder,Al Horford,C-F,6-9,240,June 3 1986,do,13,Florida
Oklahoma City Thunder,Hamidou Diallo,G,6-5,202,July 31 1998,us,2,Kentucky
Oklahoma City Thunder,Omer Yurtseven,C,7-0,264,June 19 1998,tr,R,NC State Georgetown
Oklahoma City Thunder,Darius Miller,F,6-6,225,March 21 1990,us,5,Kentucky
Oklahoma City Thunder,Darius Bazley,F,6-8,208,June 12 2000,us,1,
Oklahoma City Thunder,Moses Brown  (TW),C,7-2,245,October 13 1999,us,1,UCLA
Oklahoma City Thunder,Isaiah Roby,F,6-8,230,February 3 1998,us,1,Nebraska
Oklahoma City Thunder,Ty Jerome,G,6-5,195,July 8 1997,us,1,Virginia
Oklahoma City Thunder,Théo Maledon,G,6-4,180,June 12 2001,fr,R,
Oklahoma City Thunder,Luguentz Dort,G,6-3,220,April 19 1999,ca,1,Arizona State
Oklahoma City Thunder,Trevor Ariza,F,6-8,215,June 30 1985,us,16,UCLA
Denver Nuggets,JaMychal Green,F,6-8,227,June 21 1990,us,6,Alabama
Denver Nuggets,Jamal Murray,G,6-4,215,February 23 1997,ca,4,Kentucky
Denver Nuggets,Gary Harris,G,6-4,210,September 14 1994,us,6,Michigan State
Denver Nuggets,R.J. Hampton,G,6-6,176,February 7 2001,us,R,
Denver Nuggets,PJ Dozier,G,6-6,205,October 25 1996,us,3,South Carolina
Denver Nuggets,Michael Porter Jr.,F,6-10,218,June 29 1998,us,1,Missouri
Denver Nuggets,Facundo Campazzo,G,5-11,195,March 23 1991,ar,R,
Denver Nuggets,Markus Howard  (TW),G,5-11,180,March 3 1999,us,R,Marquette
Denver Nuggets,Nikola Jokić,C-F,7-0,284,February 19 1995,rs,5,
Denver Nuggets,Zeke Nnaji,F,6-11,240,January 9 2001,us,R,Arizona
Denver Nuggets,Greg Whittington  (TW),F,6-8,212,February 7 1993,us,R,Georgetown
Denver Nuggets,Will Barton,G,6-5,181,January 6 1991,us,8,Memphis
Denver Nuggets,Paul Millsap,F,6-7,257,February 10 1985,us,14,Louisiana Tech
Denver Nuggets,Bol Bol,F-C,7-2,220,November 16 1999,sd,1,Oregon
Denver Nuggets,Monte Morris,G,6-2,183,June 27 1995,us,3,Iowa State
Denver Nuggets,Isaiah Hartenstein,F,7-0,249,May 5 1998,us,2,
Denver Nuggets,Vlatko Čančar,F,6-8,236,April 10 1997,si,1,
Portland Trail Blazers,CJ Elleby,F,6-6,200,June 16 2000,us,R,Washington State
Portland Trail Blazers,Gary Trent Jr.,G,6-5,209,January 18 1999,us,2,Duke
Portland Trail Blazers,Damian Lillard,G,6-2,195,July 15 1990,us,8,Weber State
Portland Trail Blazers,Keljin Blevins  (TW),F,6-6,200,November 24 1995,us,R,University of Southern Mississippi Montana State
Portland Trail Blazers,Nassir Little,F,6-5,220,February 11 2000,us,1,UNC
Portland Trail Blazers,CJ McCollum,G,6-3,190,September 19 1991,us,7,Lehigh
Portland Trail Blazers,Enes Kanter,C,6-10,250,May 20 1992,ch,9,
Portland Trail Blazers,Zach Collins,C-F,6-11,250,November 19 1997,us,3,Gonzaga
